TCI,TCSC,exp,expmod,cm,cvbin,frqbin,abin,kurt,vfleak,M,A1,A2,A3,mav,psr,hilb,SamEn,x3,x4,x5,x1,x2,bCP,bWT,bW,Li,count1,count2,count3,VF
911.99,8.7333,120,75,0.09965800000000001,0.047548,1.5,950,8.7222,0.8481700000000001,1.1366,0.05481799999999999,0.41313,0.21598,0.2409,0.041875,0.040625,0.10303,0.00062117,5,8.9766,0.2661,0.28723000000000004,0.858,0.053411,8.8501,25.809,23.75,70.0,7.9545,0
849.91,8.6,90,75,0.089692,0.049345,1.25,948,9.9753,0.8432,1.2826,0.043098000000000004,0.35015,0.40992,0.23335999999999998,0.043125,0.04,0.11105,0.00081802,4,8.2438,0.26378,0.29248,0.9,0.047006,8.9111,9.9584,20.75,61.75,6.0439,0
926.95,8.2,120,75,0.089692,0.050241,1.25,947,6.9183,0.8617299999999999,4.5195,0.010445,0.079928,3.2741,0.27539,0.04625,0.048125,0.09997400000000001,0.0006812000000000001,5,1.1602,0.24214000000000002,0.24884,0.85,0.066787,9.2163,29.886999999999997,21.5,63.25,6.4988,0
919.39,8.9333,120,75,0.079726,0.046646,1.25,951,8.1173,0.8297399999999999,4.5781,0.010139,0.07271,3.2559,0.25296,0.046875,0.048125,0.10444,0.00067551,5,2.2594,0.25103000000000003,0.25644,0.87,0.075692,8.606,26.084,24.5,68.25,8.0198,0
927.16,8.0,90,75,0.06976,0.039358,1.0,959,9.9781,0.8676200000000001,4.68,0.009676,0.073523,3.3433,0.23113000000000003,0.044375,0.041875,0.10163,0.00055548,4,2.2594,0.23475,0.26252,0.892,0.049259,8.8501,11.956,19.75,60.5,5.6163,0
921.7,8.4667,120,90,0.079726,0.047548,1.25,950,7.7125,0.8525799999999999,4.3971,0.012246,0.07836699999999999,3.3795,0.25495,0.044375,0.051875,0.099927,0.0005928999999999999,5,2.2594,0.23811999999999997,0.25611999999999996,0.86,0.068311,8.667,24.766,23.5,67.25,7.5707,0
920.41,8.0,90,75,0.06976,0.037517,1.0,961,10.123,0.86424,1.1892,0.048316000000000005,0.39366999999999996,0.27883,0.22127,0.040625,0.03875,0.099878,0.00061929,4,8.7323,0.24366999999999997,0.27463000000000004,0.8959999999999999,0.044032,8.7891,14.415999999999999,20.25,62.0,5.8806,0
702.57,28.4,120,120,0.17937999999999998,0.21335,3.0,692,2.7675,0.70987,2.4372,0.017238,0.23481,1.9675,0.37087,0.07625,0.07875,0.13725,0.00033214,4,2.7479,0.5987399999999999,0.062847,0.7240000000000001,0.15108,5.5542,36.787,15.75,66.0,5.4211,0
303.28,67.533,210,195,0.18935,0.23984,3.25,602,-1.1394,0.38139,1.1623,0.0055118,0.68805,0.21418,0.8902700000000001,0.1,0.11125,0.31426,0.078827,26,3.3586,0.9661299999999999,0.0031888999999999997,0.055999999999999994,0.79319,0.36621,23.233,36.25,90.0,20.913,1
334.0,68.933,60,180,0.14949,0.23091,2.75,639,-1.1317,0.32504,1.1858,0.009815299999999999,0.78552,0.37267,0.8711399999999999,0.09875,0.11062999999999999,0.27894,0.092076,24,2.9922,0.95421,0.004919,0.098,0.8475600000000001,0.30518,17.043,36.0,94.5,23.958000000000002,1
591.98,6.3333,180,105,0.22921,0.24491999999999997,5.0,573,10.835999999999999,0.79932,2.9612,0.019549,0.11358,2.562,0.22513000000000002,0.045625,0.053125,0.09751,0.001352,7,3.4807,0.43759,0.20199999999999999,0.852,0.1915,8.5449,3.6564,20.0,72.0,6.9734,0
591.49,6.3333,180,105,0.25911,0.24765,5.25,551,10.652000000000001,0.7983100000000001,2.9062,0.020546000000000002,0.11256,2.4974,0.2233,0.0475,0.050625,0.11325,0.0015622,7,3.4807,0.46086000000000005,0.19249000000000002,0.852,0.14257999999999998,8.4839,3.2426,25.75,72.75,9.4731,0
190.75,68.8,360,225,0.16942000000000002,0.23769,3.5,612,-0.7993600000000001,0.52668,2.2444,0.0027078000000000002,0.39257,1.6469,0.75132,0.091875,0.094375,0.17009000000000002,0.0257,15,3.725,0.7206899999999999,0.11732999999999999,0.34,0.39545,5.0659,25.448,55.75,100.5,41.122,0
333.34,40.266999999999996,0,150,0.12955999999999998,0.08767899999999999,2.0,903,4.0286,0.7563,3.1860000000000004,0.008314100000000001,0.20193,2.5684,0.54855,0.063125,0.07375,0.15933,0.00034895,3,2.1373,0.32666,0.081496,0.57,0.30937,7.2632,41.601000000000006,32.0,82.5,16.347,0
513.52,7.6,210,120,0.24914,0.21924000000000002,5.25,676,8.9679,0.76236,1.7111,0.034736,0.28226999999999997,1.0399,0.25281,0.045,0.06375,0.13655,0.0017631,8,5.9233,0.37001,0.1709,0.742,0.24831999999999999,7.9346,2.2977,30.0,78.75,13.815999999999999,0
539.55,7.1333,180,120,0.20928000000000002,0.19867,4.5,727,11.032,0.73315,1.7415,0.033497000000000006,0.30766,1.0546,0.22696,0.040625,0.04625,0.076589,0.00092465,7,5.5569,0.47784,0.18,0.8079999999999999,0.1766,7.4463,2.8151,26.0,76.25,10.392999999999999,0
590.73,7.0667,180,105,0.21925,0.23963,4.0,603,10.216000000000001,0.8176399999999999,2.7617,0.027826,0.13044,2.3886,0.23396999999999998,0.050625,0.058125,0.088762,0.00035968,7,3.4807,0.46798,0.16526,0.8320000000000001,0.1847,8.4229,3.0034,25.75,75.0,9.6322,0
589.56,8.5333,150,105,0.13952,0.15774000000000002,2.5,804,8.1792,0.8224100000000001,2.5306,0.028561000000000003,0.15059,2.0619,0.25232,0.045,0.0575,0.10459,0.0006696,7,3.4807,0.4776,0.16734000000000002,0.7859999999999999,0.21896,7.2021,4.1799,27.5,76.25,10.484000000000002,0
600.78,6.8,165,105,0.13952,0.24935,3.25,530,10.833,0.8215899999999999,2.7824,0.023341,0.1231,2.3364,0.2213,0.038125,0.043125,0.08727,0.00052891,7,3.3586,0.46274,0.13931,0.8540000000000001,0.19755,8.1787,3.3055,21.75,71.0,7.6259,0
600.86,6.9333,180,105,0.15945,0.24794000000000002,3.5,548,9.9974,0.81352,1.3823,0.053398,0.32354,0.62311,0.22623000000000001,0.043125,0.0525,0.09728099999999999,0.00057799,7,6.6561,0.46056,0.13847,0.82,0.20842,8.2397,3.7432,27.25,76.25,10.325,0
619.57,6.6,150,90,0.15945,0.25003000000000003,3.25,515,11.72,0.80896,1.4347,0.0532,0.31238,0.6643600000000001,0.22646,0.0475,0.0525,0.10987999999999999,0.00064219,6,6.6561,0.45518000000000003,0.14458,0.82,0.19599,8.1787,1.3911,23.75,72.75,8.5641,0
594.45,6.9333,180,105,0.17937999999999998,0.24688000000000002,3.75,558,10.305,0.8059999999999999,1.4107,0.051613,0.30576,0.66488,0.22225999999999999,0.04125,0.049375,0.094187,0.00052323,7,6.7782,0.46593999999999997,0.14312,0.8340000000000001,0.19475,8.3008,2.208,27.0,77.25,10.364,0
350.44,54.467,135,240,0.22921,0.23535,4.25,622,-0.5978399999999999,0.34606,1.3588,0.008681399999999999,0.55981,0.36946,0.61358,0.09875,0.11563,0.40926,0.069436,21,4.0914,0.92086,0.012075,0.14,0.46553999999999995,1.8311,59.99100000000001,35.25,91.25,21.956,1
217.04,53.067,150,240,0.14949,0.20440999999999998,2.75,714,-0.35645,0.36162,1.3288,0.014388999999999999,0.56688,0.33029000000000003,0.6441899999999999,0.1,0.10937999999999999,0.35283000000000003,0.037742000000000005,18,3.8471,0.91432,0.011097,0.136,0.46597,1.709,70.046,32.75,103.75,24.27,1
248.66,53.0,60,225,0.20928000000000002,0.22891,3.75,646,-0.049542,0.35034,1.1631,0.030993,0.5724899999999999,0.27013000000000004,0.54655,0.0925,0.10437,0.37917,0.020537,21,4.4577,0.91659,0.014596000000000001,0.212,0.40631999999999996,1.1597,58.06,19.75,87.25,11.064,1
218.22,59.933,375,300,0.25911,0.23942,4.75,604,-0.60931,0.29705,1.018,0.032201,0.64267,0.075863,0.6543800000000001,0.10063,0.115,0.4536,0.035933,19,5.678999999999999,0.92774,0.0041655,0.136,0.55335,0.6713899999999999,35.571,28.75,90.75,16.307000000000002,1
182.23,47.933,120,270,0.21925,0.22233000000000003,4.75,667,0.1906,0.44348999999999994,0.9387700000000001,0.048945999999999996,0.48823,0.059699,0.56112,0.094375,0.10937999999999999,0.43478999999999995,0.039888,21,6.2897,0.8806299999999999,0.016153,0.182,0.54786,2.9297,78.73,33.0,98.75,22.244,1
191.44,56.467,135,210,0.18935,0.2118,3.5,696,-0.16036,0.54194,0.8604799999999999,0.09983600000000001,0.47439,0.047342,0.5705600000000001,0.0975,0.10937999999999999,0.41999,0.04312,20,6.2897,0.7570100000000001,0.013054,0.146,0.66857,3.8452,41.211000000000006,28.25,90.5,15.929,1
431.92,17.867,120,75,0.12955999999999998,0.17619,2.25,772,7.14,0.8604700000000001,5.6075,0.001077,0.17342,2.3882,0.24572,0.06125,0.07375,0.15188,0.0021443,5,1.2824,0.37956,0.08187,0.672,0.11490999999999998,6.3477,13.415,18.25,64.25,5.505,0
427.48,19.133,135,120,0.15945,0.18048,2.5,764,5.7851,0.87485,5.8873,0.00059996,0.1819,2.4427,0.26598,0.0625,0.073125,0.1505,0.0026958999999999998,6,1.2824,0.38397,0.079749,0.636,0.12927,6.3477,8.9879,13.5,62.75,4.0339,0
793.13,14.667,120,90,0.15945,0.17619,3.0,772,9.0131,0.86541,6.5044,0.0,0.14999,2.3908,0.23326999999999998,0.05,0.069375,0.13064,0.0016065,5,1.2824,0.37825,0.10964000000000002,0.726,0.11706,7.5684,5.9991,21.0,71.75,7.1665,0
811.97,13.8,120,90,0.11959000000000002,0.17565,2.0,773,8.2339,0.8888299999999999,6.809,0.0,0.14887,2.3703,0.22916999999999998,0.05875,0.06625,0.13057,0.0013857000000000001,5,1.2824,0.3455,0.12849000000000002,0.76,0.12335,7.5684,10.212,18.25,67.75,5.9302,0
635.68,13.667,120,90,0.12955999999999998,0.17008,2.75,783,9.2598,0.87359,6.5869,0.0,0.1403,2.4295,0.21715,0.053125,0.073125,0.12825,0.0010634,5,1.2824,0.41235,0.10565999999999999,0.718,0.08213200000000001,7.3242,11.519,17.5,68.5,5.6612,0
633.32,15.467,120,90,0.13952,0.17121,2.25,781,10.026,0.8903,6.8211,0.00063507,0.16810999999999998,2.256,0.2147,0.053125,0.0625,0.12389000000000001,0.0009763,5,1.2824,0.33610999999999996,0.12237,0.7859999999999999,0.093532,7.5684,8.4449,18.75,68.0,5.9859,0
800.34,11.667,120,75,0.12955999999999998,0.18154,2.0,762,11.405,0.88308,6.468999999999999,0.0,0.16585999999999998,2.3632,0.2067,0.051875,0.060625,0.12138,0.00078416,5,1.2824,0.34094,0.10285,0.7959999999999999,0.10570999999999998,7.6294,3.6486,20.75,70.0,6.9581,0
183.25,51.067,30,285,0.23918000000000003,0.21335,4.75,692,0.038597,0.46751000000000004,1.2186,0.035656,0.46013999999999994,0.35125,0.55695,0.0975,0.10437,0.47765,0.056929999999999994,21,5.1905,0.77784,0.022783,0.166,0.44171000000000005,1.2207,57.592,48.25,110.5,38.150999999999996,1
160.19,59.2,210,315,0.24914,0.22166,5.0,669,-0.46887,0.33992,1.0190000000000001,0.04584,0.5785600000000001,0.12300000000000001,0.64707,0.1,0.11062999999999999,0.49706000000000006,0.084468,23,6.0454,0.8948200000000001,0.021480000000000003,0.166,0.6140399999999999,1.4038,41.934,41.25,97.25,27.476,1
198.63,56.0,180,270,0.24914,0.21959,4.75,675,-0.015093,0.41072,1.0427,0.045882,0.4966,0.20133,0.58953,0.090625,0.11125,0.47081000000000006,0.042082,22,5.5569,0.83824,0.012270999999999999,0.192,0.58954,1.8311,39.260999999999996,36.75,94.5,23.426,1
334.61,29.8,30,135,0.18935,0.17889000000000002,3.0,767,1.8532,0.8497299999999999,6.1118,0.0025439,0.1445,1.8022,0.36983,0.0825,0.10125,0.2243,0.0031079999999999997,5,1.2824,0.33394,0.10549000000000001,0.7020000000000001,0.11410999999999999,7.2632,68.311,24.75,70.25,8.5334,0
435.33,27.333000000000002,180,150,0.17937999999999998,0.24971999999999997,3.0,523,3.2424,0.79067,2.8796,0.011835,0.25919000000000003,2.3215,0.3453,0.07625,0.091875,0.15454,0.0051012,10,2.3815,0.48084,0.053212999999999996,0.5379999999999999,0.35519,5.6152,4.9349,33.25,79.5,15.640999999999998,0
423.3,26.4,210,135,0.17937999999999998,0.2502,3.0,507,3.4318,0.8417100000000001,2.6048,0.012053,0.29304,2.1309,0.36624,0.08125,0.09625,0.15777,0.0053115,9,2.5037,0.54847,0.052247,0.53,0.33113000000000004,5.188,5.4639,31.5,81.5,15.327,0
431.63,20.666999999999998,150,135,0.14949,0.24589,2.75,566,3.6972,0.8140000000000001,2.7680000000000002,0.022025,0.21074,2.3278,0.33795,0.073125,0.090625,0.15231,0.0038851999999999997,9,2.3815,0.50153,0.057204,0.564,0.36379,5.6763,3.8798,29.0,77.5,13.519,0
473.37,27.267,180,135,0.18935,0.24999000000000002,3.0,516,3.7108,0.80979,2.8201,0.0098485,0.2674,2.346,0.36175,0.08125,0.088125,0.14078,0.0031493000000000003,8,2.1373,0.31784,0.049000999999999996,0.5820000000000001,0.25561,4.6387,5.0346,28.25,77.0,12.017999999999999,0
220.34,27.733,30,165,0.24914,0.20002,5.5,724,7.1415,0.64403,1.6945,0.03385,0.38452,0.9405100000000001,0.36646999999999996,0.071875,0.075,0.38445999999999997,0.0064122,8,4.8241,0.65468,0.061246,0.324,0.3563,4.9438,16.493,24.5,84.75,13.120999999999999,0
284.43,28.333000000000002,0,135,0.23918000000000003,0.17065,4.75,782,12.276,0.6615,1.5509,0.047830000000000004,0.31122,0.91876,0.41655,0.06125,0.065625,0.30841,0.0041563,2,4.702,0.57202,0.06363200000000001,0.23800000000000002,0.28464,5.9204,19.582,27.25,87.5,15.02,0
240.72,31.4,45,165,0.13952,0.13992000000000002,2.0,832,2.5289,0.59106,2.7798,0.0058608,0.27945,1.7342,0.54414,0.068125,0.078125,0.22426999999999997,0.0069503,9,2.1373,0.6661600000000001,0.022642,0.22399999999999998,0.35307,2.5635,24.807,25.75,81.0,12.144,0
453.32,17.867,30,210,0.25911,0.23510999999999999,5.0,623,5.0215,0.64088,1.1638,0.072633,0.30992,0.42455,0.28008,0.07875,0.089375,0.39107,0.0056326,4,5.4348,0.43325,0.15975999999999999,0.496,0.14558,7.8125,47.981,16.5,81.5,8.0164,0
222.84,44.933,180,225,0.15945,0.20224,2.75,719,0.35881,0.7148,2.2527,0.029251999999999997,0.26178,1.5977,0.51984,0.096875,0.10312,0.36409,0.014117,8,2.7479,0.53301,0.03482,0.34,0.19193,5.249,17.438,16.0,79.5,7.6054,0
161.4,44.733000000000004,150,270,0.25911,0.23281,5.75,632,0.28607,0.63294,1.6949,0.028151999999999996,0.34335,1.0925,0.52573,0.090625,0.10437,0.45653,0.034782,12,4.4577,0.67362,0.074174,0.23399999999999999,0.27285,4.9438,16.904,26.0,96.75,17.112000000000002,0
203.72,13.732999999999999,30,225,0.05979500000000001,0.051135,0.75,946,5.8407,0.6120899999999999,1.5272,0.038477,0.34779,0.81687,0.27575,0.064375,0.07,0.25339,0.004353,5,3.725,0.66772,0.023879,0.446,0.24195,3.2959,15.225,28.0,88.75,15.955,0
223.07,58.266999999999996,90,240,0.21925,0.20981,4.5,701,-0.26888,0.42566000000000004,0.96872,0.045602,0.5938,0.15029,0.68681,0.095625,0.11,0.40021,0.089229,23,4.5799,0.85388,0.0050128,0.114,0.62029,0.97656,48.739,49.0,99.5,33.799,1
277.79,36.266999999999996,150,120,0.17937999999999998,0.16195,3.0,797,1.4878,0.77941,1.615,0.053422000000000004,0.2836,1.0531,0.45121999999999995,0.076875,0.085625,0.14953,0.00075571,7,5.3127,0.3826,0.21336,0.638,0.13681,8.7891,3.1208,30.5,81.5,14.164000000000001,0
238.76,52.4,120,255,0.22921,0.20568000000000003,4.0,711,-0.55511,0.71618,0.8900299999999999,0.096335,0.36154000000000003,0.26921,0.65282,0.099375,0.1125,0.43723,0.032472,20,6.4118,0.32771,0.030175999999999998,0.212,0.45983999999999997,5.249,16.064,34.25,91.75,20.985,0
333.33,44.533,75,180,0.22921,0.1831,4.25,759,0.030535000000000003,0.74327,3.0176,0.020718,0.30954,2.0376,0.50708,0.084375,0.10625,0.31225,0.016441,8,2.1373,0.22245,0.077724,0.37200000000000005,0.14106,4.0283,5.8984,31.5,85.25,16.128,0
212.95,56.467,150,255,0.25911,0.20526,5.5,712,-0.39364,0.72026,2.9828,0.018035,0.24708000000000002,2.1046,0.61566,0.09125,0.1125,0.39323,0.020474000000000003,11,2.0151,0.26158000000000003,0.04607,0.31,0.24279,5.9204,19.516,26.25,75.25,11.222999999999999,0
507.16,11.333,60,150,0.13952,0.1419,2.0,829,8.5441,0.79218,1.0322,0.063913,0.40602,0.19114,0.26114,0.055625,0.060625,0.11424000000000001,0.00089764,3,7.0225,0.45321000000000006,0.069465,0.7759999999999999,0.044917,6.8359,63.876999999999995,16.5,68.5,5.73,0
702.6,11.933,30,105,0.11959000000000002,0.17344,2.25,777,10.142000000000001,0.80753,1.0059,0.069507,0.41756000000000004,0.16477999999999998,0.23881999999999998,0.06,0.06375,0.11639000000000001,0.00088013,2,7.1446,0.47228000000000003,0.068124,0.8320000000000001,0.0517,6.6528,57.979,12.5,64.25,4.0665,0
363.97,13.2,60,135,0.22921,0.19544,4.25,734,8.1124,0.7592800000000001,3.9104,0.014559,0.12645,3.1989,0.24275,0.070625,0.07375,0.27009,0.0047992,3,2.1373,0.38441,0.11160999999999999,0.61,0.12067,8.1177,31.783,30.25,81.25,13.579,0
598.42,7.8667,30,150,0.15945,0.17565,2.75,773,9.3836,0.80411,3.3538,0.017097,0.13269,2.9462,0.25156999999999996,0.056875,0.061875,0.11857000000000001,0.00048544,3,2.1373,0.37736,0.06366799999999999,0.8420000000000001,0.076491,6.897,46.503,11.5,61.25,3.4276,0
463.56,12.133,60,135,0.19932,0.15895,4.25,802,7.1115,0.78178,4.1902,0.0028537,0.13296,3.4471,0.27373000000000003,0.063125,0.06875,0.20775,0.0028116,3,1.7709,0.42133999999999994,0.059537,0.652,0.12666,6.8359,29.035,15.0,60.25,4.5644,0
900.0,40.733000000000004,60,75,0.11959000000000002,0.20092000000000002,1.75,722,1.2653,0.73848,3.2198,0.0029446,0.30996,2.2169,0.44523999999999997,0.088125,0.085625,0.15089,0.006208,5,1.1602,0.16125,0.0061205,0.434,0.16552,2.0752,59.361999999999995,26.0,84.75,14.193,0
211.81,34.733000000000004,30,225,0.21925,0.13521,4.0,839,1.7327,0.79164,5.4683,0.0012652999999999998,0.17029,2.9574,0.42005,0.0825,0.0925,0.30322,0.0054724,5,1.1602,0.34814,0.038462,0.364,0.24019000000000001,6.8359,36.843,15.5,75.0,6.4315,0
305.21,26.066999999999997,90,195,0.21925,0.14582,4.25,823,2.6036,0.69399,3.8889,0.010341,0.13777999999999999,3.1194,0.37982,0.07875,0.0875,0.33728,0.012294,6,2.0151,0.41993,0.053441999999999996,0.444,0.16644,6.6528,34.72,17.75,92.25,10.615,0
375.31,16.067,60,120,0.11959000000000002,0.09955599999999999,1.75,888,5.47,0.81576,4.8598,0.0056142,0.11984000000000002,3.0589999999999997,0.27747,0.058125,0.061875,0.122,0.0017762000000000001,3,1.4045,0.41073000000000004,0.042589999999999996,0.754,0.086117,6.4087,46.05,13.5,47.5,3.0355,0
373.81,16.267,60,210,0.10962000000000001,0.10722000000000001,1.5,878,5.0426,0.7609899999999999,3.8623,0.010066,0.14232,3.2765,0.31663,0.075,0.0725,0.17278,0.0016410999999999997,3,1.893,0.40131999999999995,0.05275,0.77,0.10954000000000001,6.7749,26.576,13.0,52.25,3.1593,0
434.17,11.0,120,135,0.18935,0.22266999999999998,3.5,666,8.8745,0.68797,2.0474,0.015275,0.28638,1.3856,0.27116,0.051875,0.064375,0.11539,0.00087477,5,3.4807,0.68999,0.053465,0.7040000000000001,0.18183,4.2725,14.489,19.75,64.25,5.9785,0
420.22,9.7333,120,105,0.19932,0.22494,3.75,659,8.8428,0.70048,2.1141,0.017209000000000002,0.28558,1.5084,0.26638,0.050625,0.065625,0.11634000000000001,0.00082325,5,3.4807,0.64486,0.063935,0.73,0.15772,4.6387,13.356,19.5,62.25,5.7326,0
393.53,9.4667,90,135,0.17937999999999998,0.23254,3.5,633,10.067,0.71353,2.2013,0.018049000000000003,0.2599,1.6165,0.24265,0.059375,0.066875,0.12618,0.0010718,4,3.3586,0.6197,0.066224,0.698,0.13465,4.6997,14.408,15.25,59.5,4.25,0
596.93,22.866999999999997,120,90,0.13952,0.21673,2.25,683,5.1353,0.68338,1.8012,0.033868999999999996,0.25566,1.1704,0.29427,0.065625,0.07375,0.16629000000000002,0.0015873,5,2.6258,0.64822,0.049684,0.604,0.21424,5.0049,6.893,20.25,70.0,6.734,0
163.62,55.467,120,240,0.23918000000000003,0.21561999999999998,4.5,686,-0.17361,0.42452,1.2936,0.010126000000000001,0.53518,0.1642,0.69725,0.1,0.10687,0.42433999999999994,0.042241,22,4.0914,0.95596,0.0059567,0.19399999999999998,0.41138,2.4414,70.406,45.5,94.5,27.0,1
221.13,52.733000000000004,60,240,0.22921,0.20440999999999998,4.25,714,-0.099087,0.42848,0.89795,0.078216,0.50147,0.08631799999999999,0.6058600000000001,0.1,0.10562,0.40907,0.040978,19,5.678999999999999,0.89187,0.0067033,0.184,0.45228,2.7466,37.888000000000005,37.0,90.75,20.921,1
200.22,54.467,180,255,0.26908000000000004,0.20736,5.25,707,-0.29203,0.51998,1.1022,0.062018,0.37889,0.38974000000000003,0.6491899999999999,0.09875,0.105,0.47638,0.034434,17,4.9463,0.56014,0.028466,0.132,0.556,4.5776,42.397,40.0,93.75,24.47,1
504.43,29.333000000000002,45,180,0.20928000000000002,0.1945,4.5,736,1.1937,0.6873199999999999,5.1845,0.0027684000000000003,0.12750999999999998,2.5855,0.42344,0.08,0.094375,0.25943,0.004793100000000001,7,1.4045,0.55697,0.069363,0.504,0.17644,5.6152,44.63,27.75,80.75,12.212,0
416.67,61.333,180,180,0.12955999999999998,0.24744000000000002,2.25,553,-0.46121,0.7491300000000001,1.8304,0.042482,0.27466,1.5995,0.71487,0.098125,0.11062999999999999,0.21971,0.0071359,13,2.1373,0.29473,0.010088,0.312,0.39213000000000003,2.5635,44.448,35.0,89.75,21.189,0
315.58,47.8,30,195,0.18935,0.20981,3.0,701,0.6240600000000001,0.71135,0.9761700000000001,0.085676,0.34714,0.30226,0.52982,0.0875,0.10063,0.21241999999999997,0.0035205999999999996,13,5.8012,0.70787,0.023191999999999997,0.514,0.36564,3.1128,8.4687,21.75,84.0,10.859000000000002,0
374.52,74.467,285,165,0.14949,0.23879,2.75,607,-1.3116,0.23319,1.0633,0.012041,0.74722,0.095695,1.016,0.093125,0.11062999999999999,0.25599,0.16939,23,2.8701,0.9712799999999999,0.0033303000000000004,0.07200000000000001,0.46828000000000003,0.30518,32.595,44.0,92.5,26.3,1
617.1,18.333,30,180,0.079726,0.07029400000000001,1.25,924,4.3944,0.70265,1.6551,0.036051,0.3597,0.9835200000000001,0.3506,0.065625,0.07375,0.16217,0.0031201000000000002,9,2.8701,0.56824,0.015094999999999999,0.52,0.25604,2.6855,8.3041,21.25,76.0,9.1114,0
502.3,16.6,120,105,0.16942000000000002,0.23535,3.0,622,5.4427,0.7689699999999999,5.9117,0.0021928,0.11109000000000001,2.6261,0.29913,0.064375,0.074375,0.14907,0.0017829,5,1.2824,0.50951,0.08316599999999999,0.772,0.13932999999999998,6.4697,8.413,19.75,61.0,5.6761,0
461.66,13.533,120,75,0.14949,0.2425,2.5,588,6.4415,0.76566,6.1076,0.0,0.12137,2.5234,0.31615,0.065625,0.064375,0.11919,0.0016642,5,1.2824,0.4825,0.086901,0.768,0.13693,7.3242,44.477,22.75,64.25,6.9604,0
253.74,72.4,180,225,0.18935,0.24195999999999998,3.75,591,-1.0317,0.21763000000000002,1.0603,0.005469,0.8191,0.029231,0.89174,0.09875,0.11438,0.35775,0.06448999999999999,23,3.9692,0.98244,0.00071959,0.078,0.55978,0.42725,68.255,29.75,86.75,16.57,1
255.09,62.467,150,225,0.15945,0.21335,3.0,692,-0.57187,0.33136,1.3745,0.0035268,0.62153,0.32066,0.73454,0.1,0.11188,0.31899,0.047327999999999995,24,2.8701,0.9624299999999999,0.00106,0.098,0.66578,1.2817,73.404,33.5,90.75,19.09,1
